starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 15 17:38:35 2013	1381855115	2	603	605	603
Tue Oct 15 17:38:35 2013	1381855115	2	609	611	609
Tue Oct 15 17:38:35 2013	1381855115	1	636	637	636
Tue Oct 15 17:38:35 2013	1381855115	2	715	717	715
Tue Oct 15 17:38:35 2013	1381855115	2	718	719	718
Tue Oct 15 17:38:35 2013	1381855115	1	725	726	725
Tue Oct 15 17:38:35 2013	1381855115	2	727	729	727
Tue Oct 15 17:38:35 2013	1381855115	2	730	732	730
Tue Oct 15 17:38:35 2013	1381855115	1	734	735	734
Tue Oct 15 17:38:35 2013	1381855115	1	735	736	735
Tue Oct 15 17:38:35 2013	1381855115	1	744	745	744
Tue Oct 15 17:38:35 2013	1381855115	2	887	889	887
Tue Oct 15 17:38:35 2013	1381855115	2	894	896	894
Tue Oct 15 17:38:35 2013	1381855115	2	894	896	894
Tue Oct 15 17:38:35 2013	1381855115	2	897	899	897
Tue Oct 15 17:38:35 2013	1381855115	2	903	905	903
Tue Oct 15 17:38:35 2013	1381855115	2	903	905	903
Tue Oct 15 17:38:35 2013	1381855115	2	917	919	917
Tue Oct 15 17:38:35 2013	1381855115	2	919	921	919
Tue Oct 15 17:38:35 2013	1381855115	1	941	943	941
Tue Oct 15 17:38:53 2013	1381855133	1	1091	1092	1043
Tue Oct 15 17:38:53 2013	1381855133	1	1215	1216	1215
Tue Oct 15 17:38:35 2013	1381855115	1	1242	1243	1242
Tue Oct 15 17:38:53 2013	1381855133	0	1246	1247	1246
Tue Oct 15 17:38:53 2013	1381855133	1	1272	1273	1272
Tue Oct 15 17:38:53 2013	1381855133	1	1275	1276	1275
Tue Oct 15 17:38:53 2013	1381855133	1	1282	1283	1282
Tue Oct 15 17:38:53 2013	1381855133	1	1288	1288	1288
Tue Oct 15 17:38:40 2013	1381855120	1	1325	1326	1325
Tue Oct 15 17:38:53 2013	1381855133	0	1347	1348	1347
Tue Oct 15 17:38:53 2013	1381855133	0	1362	1362	1362
Tue Oct 15 17:38:36 2013	1381855116	1	1370	1371	1370
Tue Oct 15 17:38:35 2013	1381855115	2	1377	1378	1377
Tue Oct 15 17:38:35 2013	1381855115	2	1394	1395	1394
Tue Oct 15 17:38:35 2013	1381855115	2	1395	1397	1395
Tue Oct 15 17:38:53 2013	1381855133	0	1409	1409	1409
Tue Oct 15 17:38:52 2013	1381855132	0	1425	1425	1425
Tue Oct 15 17:38:53 2013	1381855133	1	1455	1455	1455
Tue Oct 15 17:38:39 2013	1381855119	1	1470	1472	1470
Tue Oct 15 17:38:36 2013	1381855116	1	1475	1476	1475
Tue Oct 15 17:38:35 2013	1381855115	2	1480	1482	1480
Tue Oct 15 17:38:35 2013	1381855115	1	1484	1484	1483
Tue Oct 15 17:38:35 2013	1381855115	2	1487	1489	1486
Tue Oct 15 17:38:35 2013	1381855115	2	1487	1489	1487
Tue Oct 15 17:38:36 2013	1381855116	0	1496	1496	1496
Tue Oct 15 17:38:35 2013	1381855115	2	1497	1499	1497
Tue Oct 15 17:38:35 2013	1381855115	2	1499	1501	1499
Tue Oct 15 17:38:39 2013	1381855119	1	1501	1502	1470
Tue Oct 15 17:38:39 2013	1381855119	1	1503	1504	1477
Tue Oct 15 17:38:39 2013	1381855119	1	1504	1505	1479
Tue Oct 15 17:38:35 2013	1381855115	2	1505	1507	1505
Tue Oct 15 17:38:39 2013	1381855119	1	1511	1512	1493
Tue Oct 15 17:38:39 2013	1381855119	1	1515	1516	1468
Tue Oct 15 17:38:35 2013	1381855115	2	1516	1519	1516
Tue Oct 15 17:38:52 2013	1381855132	0	1524	1525	1524
Tue Oct 15 17:38:35 2013	1381855115	2	1525	1527	1525
Tue Oct 15 17:38:36 2013	1381855116	1	1534	1535	1534
Tue Oct 15 17:38:36 2013	1381855116	1	1534	1535	1534
Tue Oct 15 17:38:40 2013	1381855120	0	1540	1541	1540
Tue Oct 15 17:38:36 2013	1381855116	0	1541	1541	1541
Tue Oct 15 17:38:43 2013	1381855123	1	1543	1544	1543
Tue Oct 15 17:38:35 2013	1381855115	0	1546	1546	1545
Tue Oct 15 17:38:35 2013	1381855115	1	1549	1549	1549
Tue Oct 15 17:38:35 2013	1381855115	1	1550	1550	1549
Tue Oct 15 17:38:39 2013	1381855119	1	1550	1550	1550
Tue Oct 15 17:38:39 2013	1381855119	1	1554	1555	1515
Tue Oct 15 17:38:37 2013	1381855117	1	1554	1555	1554
