starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 15 17:32:06 2013	1381854726	1	312	313	312
Tue Oct 15 17:31:56 2013	1381854716	1	381	382	381
Tue Oct 15 17:31:51 2013	1381854711	1	536	537	536
Tue Oct 15 17:31:51 2013	1381854711	1	539	540	539
Tue Oct 15 17:31:53 2013	1381854713	0	541	542	541
Tue Oct 15 17:32:06 2013	1381854726	1	578	579	578
Tue Oct 15 17:32:02 2013	1381854722	1	592	593	592
Tue Oct 15 17:31:55 2013	1381854715	0	597	597	597
Tue Oct 15 17:31:54 2013	1381854714	1	598	599	598
Tue Oct 15 17:31:55 2013	1381854715	1	616	617	616
Tue Oct 15 17:31:58 2013	1381854718	1	619	620	619
Tue Oct 15 17:32:09 2013	1381854729	1	627	628	627
Tue Oct 15 17:32:09 2013	1381854729	1	631	631	631
Tue Oct 15 17:32:09 2013	1381854729	1	631	632	631
Tue Oct 15 17:31:51 2013	1381854711	1	637	638	637
Tue Oct 15 17:31:51 2013	1381854711	1	643	644	643
Tue Oct 15 17:32:03 2013	1381854723	26	621	647	621
Tue Oct 15 17:31:51 2013	1381854711	1	650	651	650
Tue Oct 15 17:31:53 2013	1381854713	1	652	653	652
Tue Oct 15 17:31:57 2013	1381854717	1	652	653	652
Tue Oct 15 17:31:54 2013	1381854714	1	665	665	665
Tue Oct 15 17:32:04 2013	1381854724	1	670	671	670
Tue Oct 15 17:31:54 2013	1381854714	1	683	684	683
Tue Oct 15 17:31:56 2013	1381854716	0	690	690	690
Tue Oct 15 17:31:56 2013	1381854716	1	690	691	690
Tue Oct 15 17:31:55 2013	1381854715	1	692	693	692
Tue Oct 15 17:31:55 2013	1381854715	1	695	696	695
Tue Oct 15 17:31:52 2013	1381854712	1	704	705	704
Tue Oct 15 17:31:54 2013	1381854714	1	705	706	705
Tue Oct 15 17:31:52 2013	1381854712	0	708	709	708
Tue Oct 15 17:31:55 2013	1381854715	1	709	710	709
Tue Oct 15 17:31:54 2013	1381854714	25	686	711	686
Tue Oct 15 17:31:53 2013	1381854713	1	711	712	711
Tue Oct 15 17:31:56 2013	1381854716	1	719	720	710
Tue Oct 15 17:31:52 2013	1381854712	1	721	721	721
Tue Oct 15 17:31:56 2013	1381854716	0	721	722	721
Tue Oct 15 17:31:54 2013	1381854714	1	721	722	721
Tue Oct 15 17:31:53 2013	1381854713	1	723	723	723
Tue Oct 15 17:31:57 2013	1381854717	0	723	724	723
Tue Oct 15 17:31:55 2013	1381854715	0	731	731	730
Tue Oct 15 17:32:00 2013	1381854720	0	735	735	735
Tue Oct 15 17:32:09 2013	1381854729	0	736	736	736
Tue Oct 15 17:31:53 2013	1381854713	1	737	738	737
Tue Oct 15 17:31:55 2013	1381854715	0	738	739	738
Tue Oct 15 17:31:55 2013	1381854715	1	740	741	740
Tue Oct 15 17:31:56 2013	1381854716	0	741	742	741
Tue Oct 15 17:31:52 2013	1381854712	1	741	742	741
Tue Oct 15 17:31:52 2013	1381854712	1	742	743	742
Tue Oct 15 17:31:53 2013	1381854713	0	743	743	743
Tue Oct 15 17:31:57 2013	1381854717	1	743	744	743
Tue Oct 15 17:31:52 2013	1381854712	1	746	747	746
Tue Oct 15 17:31:55 2013	1381854715	1	747	748	747
Tue Oct 15 17:31:53 2013	1381854713	1	748	749	747
Tue Oct 15 17:31:52 2013	1381854712	1	749	749	748
Tue Oct 15 17:31:52 2013	1381854712	0	751	751	751
Tue Oct 15 17:31:52 2013	1381854712	0	752	753	752
Tue Oct 15 17:31:51 2013	1381854711	1	753	754	753
Tue Oct 15 17:31:52 2013	1381854712	0	756	756	755
Tue Oct 15 17:31:56 2013	1381854716	0	756	756	756
Tue Oct 15 17:31:51 2013	1381854711	1	755	756	755
Tue Oct 15 17:31:52 2013	1381854712	1	755	756	755
Tue Oct 15 17:31:56 2013	1381854716	1	756	757	756
Tue Oct 15 17:31:59 2013	1381854719	1	757	757	756
Tue Oct 15 17:31:59 2013	1381854719	1	757	758	757
Tue Oct 15 17:31:52 2013	1381854712	1	757	758	757
Tue Oct 15 17:31:55 2013	1381854715	1	757	758	757
Tue Oct 15 17:31:54 2013	1381854714	0	758	758	758
Tue Oct 15 17:32:02 2013	1381854722	1	758	759	758
Tue Oct 15 17:31:53 2013	1381854713	1	760	761	751
Tue Oct 15 17:31:56 2013	1381854716	0	761	762	761
Tue Oct 15 17:31:52 2013	1381854712	1	761	762	761
Tue Oct 15 17:31:53 2013	1381854713	0	762	762	762
Tue Oct 15 17:31:52 2013	1381854712	0	765	765	765
Tue Oct 15 17:31:56 2013	1381854716	1	765	765	764
Tue Oct 15 17:31:51 2013	1381854711	1	765	766	765
Tue Oct 15 17:31:56 2013	1381854716	0	766	767	766
Tue Oct 15 17:31:52 2013	1381854712	1	767	767	766
Tue Oct 15 17:31:55 2013	1381854715	0	768	769	768
Tue Oct 15 17:31:51 2013	1381854711	1	768	769	768
Tue Oct 15 17:31:56 2013	1381854716	1	770	771	770
Tue Oct 15 17:31:54 2013	1381854714	1	771	772	770
Tue Oct 15 17:31:52 2013	1381854712	1	772	773	772
Tue Oct 15 17:31:56 2013	1381854716	1	773	773	773
Tue Oct 15 17:31:52 2013	1381854712	1	773	774	773
Tue Oct 15 17:31:55 2013	1381854715	61	713	774	713
Tue Oct 15 17:31:59 2013	1381854719	2	773	775	773
Tue Oct 15 17:31:54 2013	1381854714	1	774	775	774
Tue Oct 15 17:31:58 2013	1381854718	1	777	778	777
Tue Oct 15 17:31:53 2013	1381854713	0	777	778	777
Tue Oct 15 17:31:54 2013	1381854714	0	778	779	778
Tue Oct 15 17:31:52 2013	1381854712	1	778	779	778
Tue Oct 15 17:32:03 2013	1381854723	1	779	779	779
Tue Oct 15 17:31:54 2013	1381854714	1	782	783	782
Tue Oct 15 17:32:03 2013	1381854723	1	782	783	782
Tue Oct 15 17:31:56 2013	1381854716	1	782	783	752
Tue Oct 15 17:32:09 2013	1381854729	1	784	785	784
Tue Oct 15 17:31:54 2013	1381854714	0	785	785	785
Tue Oct 15 17:31:55 2013	1381854715	1	784	785	784
Tue Oct 15 17:31:54 2013	1381854714	1	785	786	785
