starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 24 12:48:32 2013	1382615312	0	4	4	4
Thu Oct 24 12:48:36 2013	1382615316	0	5	5	4
Thu Oct 24 12:48:36 2013	1382615316	1	5	5	4
Thu Oct 24 12:48:32 2013	1382615312	2	5	7	4
Thu Oct 24 12:48:32 2013	1382615312	1	6	7	6
Thu Oct 24 12:48:36 2013	1382615316	0	6	7	4
Thu Oct 24 12:48:32 2013	1382615312	2	5	7	4
Thu Oct 24 12:48:32 2013	1382615312	1	6	7	4
Thu Oct 24 12:48:32 2013	1382615312	1	6	7	2
Thu Oct 24 12:48:36 2013	1382615316	1	7	8	6
Thu Oct 24 12:48:32 2013	1382615312	4	4	8	3
Thu Oct 24 12:48:32 2013	1382615312	3	6	9	6
Thu Oct 24 12:48:32 2013	1382615312	3	6	9	6
Thu Oct 24 12:48:32 2013	1382615312	1	8	9	7
Thu Oct 24 12:48:36 2013	1382615316	2	7	9	7
Thu Oct 24 12:48:36 2013	1382615316	3	7	9	5
Thu Oct 24 12:48:32 2013	1382615312	3	7	9	6
Thu Oct 24 12:48:32 2013	1382615312	4	6	10	4
Thu Oct 24 12:48:32 2013	1382615312	2	8	10	4
Thu Oct 24 12:48:32 2013	1382615312	5	6	11	6
Thu Oct 24 12:48:32 2013	1382615312	2	8	11	6
Thu Oct 24 12:48:36 2013	1382615316	2	9	11	8
Thu Oct 24 12:48:32 2013	1382615312	5	6	11	4
Thu Oct 24 12:48:32 2013	1382615312	3	9	12	8
Thu Oct 24 12:48:32 2013	1382615312	4	8	12	5
Thu Oct 24 12:48:36 2013	1382615316	2	9	12	8
Thu Oct 24 12:48:32 2013	1382615312	3	9	12	8
Thu Oct 24 12:48:32 2013	1382615312	5	7	12	7
Thu Oct 24 12:48:32 2013	1382615312	0	12	12	11
Thu Oct 24 12:48:36 2013	1382615316	5	7	12	6
Thu Oct 24 12:48:32 2013	1382615312	3	9	12	7
Thu Oct 24 12:48:32 2013	1382615312	5	8	13	6
Thu Oct 24 12:48:32 2013	1382615312	3	9	13	8
Thu Oct 24 12:48:32 2013	1382615312	1	12	13	8
Thu Oct 24 12:48:32 2013	1382615312	3	10	13	8
Thu Oct 24 12:48:32 2013	1382615312	5	9	14	8
Thu Oct 24 12:48:32 2013	1382615312	4	11	14	8
Thu Oct 24 12:48:32 2013	1382615312	5	10	15	9
Thu Oct 24 12:48:32 2013	1382615312	4	10	15	9
Thu Oct 24 12:48:32 2013	1382615312	2	13	15	10
Thu Oct 24 12:48:32 2013	1382615312	5	10	15	8
Thu Oct 24 12:48:32 2013	1382615312	0	15	15	15
Thu Oct 24 12:48:36 2013	1382615316	6	9	15	9
Thu Oct 24 12:48:36 2013	1382615316	4	11	15	5
Thu Oct 24 12:48:32 2013	1382615312	5	11	15	11
Thu Oct 24 12:48:32 2013	1382615312	8	8	16	7
Thu Oct 24 12:48:36 2013	1382615316	5	12	16	10
Thu Oct 24 12:48:32 2013	1382615312	4	13	17	12
Thu Oct 24 12:48:32 2013	1382615312	4	14	18	12
Thu Oct 24 12:48:32 2013	1382615312	2	16	18	15
Thu Oct 24 12:48:32 2013	1382615312	0	18	18	17
Thu Oct 24 12:48:32 2013	1382615312	3	15	18	14
Thu Oct 24 12:48:32 2013	1382615312	3	15	19	15
Thu Oct 24 12:48:32 2013	1382615312	3	16	19	15
Thu Oct 24 12:48:32 2013	1382615312	0	19	19	19
Thu Oct 24 12:48:32 2013	1382615312	0	19	19	15
Thu Oct 24 12:48:32 2013	1382615312	0	19	19	19
Thu Oct 24 12:48:32 2013	1382615312	7	13	19	9
Thu Oct 24 12:48:32 2013	1382615312	3	17	19	15
Thu Oct 24 12:48:32 2013	1382615312	7	13	20	13
Thu Oct 24 12:48:32 2013	1382615312	7	13	20	13
Thu Oct 24 12:48:36 2013	1382615316	5	16	21	16
Thu Oct 24 12:48:32 2013	1382615312	5	17	22	17
Thu Oct 24 12:48:32 2013	1382615312	4	18	23	18
Thu Oct 24 12:48:32 2013	1382615312	6	17	23	16
Thu Oct 24 12:48:32 2013	1382615312	6	17	23	13
Thu Oct 24 12:48:32 2013	1382615312	2	22	24	21
Thu Oct 24 12:48:32 2013	1382615312	6	19	25	18
Thu Oct 24 12:48:32 2013	1382615312	4	21	25	20
Thu Oct 24 12:48:32 2013	1382615312	4	22	26	20
Thu Oct 24 12:48:32 2013	1382615312	2	25	27	22
Thu Oct 24 12:48:32 2013	1382615312	4	22	27	22
Thu Oct 24 12:48:32 2013	1382615312	0	27	27	25
Thu Oct 24 12:48:32 2013	1382615312	4	23	27	23
Thu Oct 24 12:48:32 2013	1382615312	4	24	28	23
Thu Oct 24 12:48:32 2013	1382615312	4	24	28	24
Thu Oct 24 12:48:32 2013	1382615312	1	28	29	24
Thu Oct 24 12:48:32 2013	1382615312	5	24	29	21
Thu Oct 24 12:48:32 2013	1382615312	16	14	29	12
Thu Oct 24 12:48:32 2013	1382615312	3	27	30	25
Thu Oct 24 12:48:32 2013	1382615312	3	27	30	27
Thu Oct 24 12:48:32 2013	1382615312	8	22	30	22
Thu Oct 24 12:48:32 2013	1382615312	2	28	31	28
Thu Oct 24 12:48:32 2013	1382615312	0	30	31	28
Thu Oct 24 12:48:32 2013	1382615312	0	31	31	28
Thu Oct 24 12:48:32 2013	1382615312	4	28	32	28
Thu Oct 24 12:48:32 2013	1382615312	3	30	32	27
Thu Oct 24 12:48:32 2013	1382615312	1	32	32	31
Thu Oct 24 12:48:32 2013	1382615312	1	32	33	31
Thu Oct 24 12:48:32 2013	1382615312	1	32	33	29
Thu Oct 24 12:48:32 2013	1382615312	3	30	33	29
Thu Oct 24 12:48:32 2013	1382615312	2	32	33	31
Thu Oct 24 12:48:32 2013	1382615312	2	32	33	31
Thu Oct 24 12:48:32 2013	1382615312	2	32	34	32
Thu Oct 24 12:48:32 2013	1382615312	1	33	34	33
Thu Oct 24 12:48:32 2013	1382615312	3	32	35	31
Thu Oct 24 12:48:32 2013	1382615312	1	36	36	34
Thu Oct 24 12:48:32 2013	1382615312	1	35	37	35
Thu Oct 24 12:48:32 2013	1382615312	1	36	37	35
Thu Oct 24 12:48:32 2013	1382615312	8	30	37	29
Thu Oct 24 12:48:32 2013	1382615312	8	29	38	29
Thu Oct 24 12:48:32 2013	1382615312	5	33	38	33
Thu Oct 24 12:48:32 2013	1382615312	5	33	39	33
Thu Oct 24 12:48:32 2013	1382615312	1	38	39	34
Thu Oct 24 12:48:32 2013	1382615312	4	38	42	36
Thu Oct 24 12:48:32 2013	1382615312	1	42	43	41
