starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 11:42:57 2013	1383651777	3	274	276	274
Tue Nov 05 11:42:57 2013	1383651777	1	676	678	676
Tue Nov 05 11:43:04 2013	1383651784	0	752	752	752
Tue Nov 05 11:42:57 2013	1383651777	3	800	802	800
Tue Nov 05 11:43:04 2013	1383651784	0	846	846	846
Tue Nov 05 11:43:04 2013	1383651784	0	860	860	860
Tue Nov 05 11:42:57 2013	1383651777	3	873	876	873
Tue Nov 05 11:43:04 2013	1383651784	0	886	886	886
Tue Nov 05 11:42:57 2013	1383651777	2	894	897	894
Tue Nov 05 11:43:04 2013	1383651784	0	911	911	911
Tue Nov 05 11:42:57 2013	1383651777	2	928	930	928
Tue Nov 05 11:43:04 2013	1383651784	0	930	930	930
Tue Nov 05 11:42:58 2013	1383651778	0	940	940	940
Tue Nov 05 11:43:04 2013	1383651784	0	943	943	943
Tue Nov 05 11:42:57 2013	1383651777	2	943	946	943
Tue Nov 05 11:42:59 2013	1383651779	0	952	952	952
Tue Nov 05 11:42:58 2013	1383651778	0	953	953	953
Tue Nov 05 11:43:04 2013	1383651784	0	954	954	954
Tue Nov 05 11:42:58 2013	1383651778	0	959	959	959
Tue Nov 05 11:43:04 2013	1383651784	0	959	959	959
Tue Nov 05 11:42:57 2013	1383651777	3	958	961	958
Tue Nov 05 11:42:58 2013	1383651778	0	961	961	961
Tue Nov 05 11:42:59 2013	1383651779	0	962	962	962
Tue Nov 05 11:42:58 2013	1383651778	0	963	963	963
Tue Nov 05 11:42:58 2013	1383651778	0	971	972	971
Tue Nov 05 11:43:04 2013	1383651784	0	974	974	974
Tue Nov 05 11:43:02 2013	1383651782	0	984	984	984
Tue Nov 05 11:42:58 2013	1383651778	0	984	984	984
Tue Nov 05 11:43:01 2013	1383651781	0	988	988	988
Tue Nov 05 11:42:58 2013	1383651778	0	989	989	989
Tue Nov 05 11:42:59 2013	1383651779	0	992	992	992
Tue Nov 05 11:43:04 2013	1383651784	0	992	992	992
Tue Nov 05 11:42:58 2013	1383651778	0	995	995	995
Tue Nov 05 11:43:01 2013	1383651781	0	995	995	995
Tue Nov 05 11:42:58 2013	1383651778	0	995	995	995
Tue Nov 05 11:42:58 2013	1383651778	0	996	996	996
Tue Nov 05 11:42:58 2013	1383651778	0	997	997	997
Tue Nov 05 11:42:57 2013	1383651777	2	995	997	995
Tue Nov 05 11:42:59 2013	1383651779	0	999	999	999
Tue Nov 05 11:43:01 2013	1383651781	0	999	999	999
Tue Nov 05 11:42:58 2013	1383651778	0	1000	1000	1000
Tue Nov 05 11:43:04 2013	1383651784	0	1004	1004	1004
Tue Nov 05 11:42:59 2013	1383651779	0	1005	1005	1005
Tue Nov 05 11:42:58 2013	1383651778	0	1006	1006	1006
Tue Nov 05 11:43:04 2013	1383651784	0	1006	1006	1006
Tue Nov 05 11:42:58 2013	1383651778	0	1011	1011	1011
Tue Nov 05 11:43:04 2013	1383651784	0	1012	1012	1012
Tue Nov 05 11:43:02 2013	1383651782	0	1012	1012	1012
Tue Nov 05 11:43:02 2013	1383651782	0	1013	1013	1013
Tue Nov 05 11:42:58 2013	1383651778	0	1013	1013	1013
Tue Nov 05 11:42:58 2013	1383651778	0	1015	1015	1015
Tue Nov 05 11:42:58 2013	1383651778	0	1016	1016	1016
Tue Nov 05 11:42:59 2013	1383651779	0	1016	1016	1016
Tue Nov 05 11:43:01 2013	1383651781	0	1017	1017	1017
Tue Nov 05 11:43:01 2013	1383651781	0	1019	1019	1019
Tue Nov 05 11:43:02 2013	1383651782	0	1020	1020	1020
Tue Nov 05 11:42:58 2013	1383651778	0	1020	1020	1020
Tue Nov 05 11:43:02 2013	1383651782	0	1021	1021	1021
Tue Nov 05 11:42:58 2013	1383651778	0	1021	1021	1021
Tue Nov 05 11:42:58 2013	1383651778	0	1022	1022	1022
Tue Nov 05 11:42:58 2013	1383651778	0	1024	1024	1024
Tue Nov 05 11:43:01 2013	1383651781	0	1026	1026	1026
Tue Nov 05 11:42:57 2013	1383651777	0	1028	1029	1028
Tue Nov 05 11:43:04 2013	1383651784	0	1030	1030	1030
Tue Nov 05 11:42:58 2013	1383651778	0	1032	1032	1032
Tue Nov 05 11:42:57 2013	1383651777	1	1032	1033	1032
Tue Nov 05 11:43:01 2013	1383651781	0	1034	1034	1034
Tue Nov 05 11:42:58 2013	1383651778	0	1035	1035	1035
Tue Nov 05 11:42:58 2013	1383651778	0	1037	1037	1037
Tue Nov 05 11:43:01 2013	1383651781	0	1037	1037	1037
Tue Nov 05 11:43:02 2013	1383651782	0	1039	1039	1039
Tue Nov 05 11:43:01 2013	1383651781	0	1039	1039	1039
Tue Nov 05 11:42:58 2013	1383651778	0	1039	1040	1039
Tue Nov 05 11:42:58 2013	1383651778	0	1040	1040	1040
Tue Nov 05 11:43:04 2013	1383651784	0	1041	1041	1041
Tue Nov 05 11:42:59 2013	1383651779	0	1042	1042	1042
Tue Nov 05 11:43:04 2013	1383651784	0	1043	1043	1043
Tue Nov 05 11:42:57 2013	1383651777	2	1042	1044	1042
Tue Nov 05 11:42:58 2013	1383651778	0	1044	1044	1044
Tue Nov 05 11:42:59 2013	1383651779	0	1044	1044	1044
Tue Nov 05 11:42:57 2013	1383651777	0	1045	1045	1045
Tue Nov 05 11:42:58 2013	1383651778	0	1045	1045	1045
Tue Nov 05 11:42:57 2013	1383651777	2	1044	1046	1044
Tue Nov 05 11:42:58 2013	1383651778	0	1046	1046	1046
Tue Nov 05 11:42:58 2013	1383651778	0	1046	1046	1046
Tue Nov 05 11:43:03 2013	1383651783	0	1047	1047	1047
Tue Nov 05 11:43:01 2013	1383651781	0	1047	1047	1047
Tue Nov 05 11:42:59 2013	1383651779	0	1050	1050	1050
Tue Nov 05 11:43:02 2013	1383651782	0	1050	1050	1050
Tue Nov 05 11:43:03 2013	1383651783	0	1050	1050	1050
Tue Nov 05 11:42:59 2013	1383651779	0	1050	1050	1050
Tue Nov 05 11:43:01 2013	1383651781	0	1050	1050	1050
Tue Nov 05 11:42:58 2013	1383651778	0	1053	1053	1053
Tue Nov 05 11:43:01 2013	1383651781	0	1053	1053	1053
Tue Nov 05 11:42:58 2013	1383651778	0	1054	1054	1054
Tue Nov 05 11:42:58 2013	1383651778	0	1055	1055	1055
Tue Nov 05 11:43:01 2013	1383651781	0	1055	1055	1055
Tue Nov 05 11:43:01 2013	1383651781	0	1056	1056	1056
Tue Nov 05 11:43:01 2013	1383651781	0	1056	1056	1056
Tue Nov 05 11:42:59 2013	1383651779	0	1057	1057	1057
Tue Nov 05 11:42:58 2013	1383651778	0	1057	1057	1057
Tue Nov 05 11:42:59 2013	1383651779	0	1059	1059	1059
Tue Nov 05 11:42:58 2013	1383651778	0	1060	1060	1060
Tue Nov 05 11:43:01 2013	1383651781	0	1060	1060	1060
Tue Nov 05 11:43:01 2013	1383651781	0	1060	1060	1060
Tue Nov 05 11:43:01 2013	1383651781	0	1061	1061	1061
Tue Nov 05 11:43:01 2013	1383651781	0	1063	1063	1063
Tue Nov 05 11:43:02 2013	1383651782	0	1063	1063	1063
Tue Nov 05 11:42:58 2013	1383651778	0	1064	1064	1064
Tue Nov 05 11:43:01 2013	1383651781	0	1065	1065	1065
Tue Nov 05 11:42:59 2013	1383651779	0	1066	1066	1066
Tue Nov 05 11:42:59 2013	1383651779	0	1066	1066	1066
Tue Nov 05 11:43:04 2013	1383651784	0	1069	1069	1069
Tue Nov 05 11:42:57 2013	1383651777	0	1069	1070	1069
Tue Nov 05 11:42:58 2013	1383651778	0	1070	1070	1070
Tue Nov 05 11:42:59 2013	1383651779	0	1071	1071	1071
Tue Nov 05 11:42:59 2013	1383651779	0	1071	1071	1071
Tue Nov 05 11:43:02 2013	1383651782	0	1072	1072	1072
Tue Nov 05 11:43:02 2013	1383651782	0	1073	1073	1073
Tue Nov 05 11:42:58 2013	1383651778	0	1073	1074	1073
Tue Nov 05 11:42:58 2013	1383651778	0	1074	1074	1074
Tue Nov 05 11:43:02 2013	1383651782	0	1080	1080	1080
Tue Nov 05 11:43:02 2013	1383651782	0	1081	1081	1081
Tue Nov 05 11:42:58 2013	1383651778	0	1081	1081	1081
Tue Nov 05 11:43:04 2013	1383651784	0	1081	1081	1081
Tue Nov 05 11:43:02 2013	1383651782	0	1082	1082	1082
Tue Nov 05 11:43:01 2013	1383651781	0	1085	1085	1085
Tue Nov 05 11:42:59 2013	1383651779	0	1086	1086	1086
Tue Nov 05 11:42:59 2013	1383651779	0	1089	1089	1089
Tue Nov 05 11:42:58 2013	1383651778	0	1092	1092	1092
Tue Nov 05 11:42:57 2013	1383651777	0	1092	1092	1092
Tue Nov 05 11:43:04 2013	1383651784	0	1094	1094	1094
Tue Nov 05 11:43:01 2013	1383651781	0	1094	1094	1094
Tue Nov 05 11:42:58 2013	1383651778	0	1095	1095	1095
Tue Nov 05 11:43:01 2013	1383651781	0	1096	1096	1096
Tue Nov 05 11:42:59 2013	1383651779	0	1096	1096	1096
Tue Nov 05 11:42:58 2013	1383651778	0	1102	1102	1102
Tue Nov 05 11:43:03 2013	1383651783	0	1103	1103	1103
Tue Nov 05 11:42:58 2013	1383651778	0	1103	1104	1103
Tue Nov 05 11:42:59 2013	1383651779	0	1104	1104	1104
Tue Nov 05 11:43:02 2013	1383651782	0	1104	1104	1104
Tue Nov 05 11:43:02 2013	1383651782	0	1105	1105	1105
Tue Nov 05 11:42:59 2013	1383651779	0	1106	1106	1106
Tue Nov 05 11:42:58 2013	1383651778	0	1107	1107	1107
Tue Nov 05 11:42:59 2013	1383651779	0	1107	1107	1107
Tue Nov 05 11:43:01 2013	1383651781	0	1107	1107	1107
Tue Nov 05 11:42:59 2013	1383651779	0	1108	1108	1108
Tue Nov 05 11:43:04 2013	1383651784	0	1109	1109	1109
Tue Nov 05 11:43:01 2013	1383651781	0	1109	1109	1109
Tue Nov 05 11:42:57 2013	1383651777	1	1109	1110	1109
Tue Nov 05 11:42:57 2013	1383651777	2	1109	1111	1109
Tue Nov 05 11:43:01 2013	1383651781	0	1113	1113	1113
Tue Nov 05 11:43:01 2013	1383651781	0	1115	1115	1115
Tue Nov 05 11:42:59 2013	1383651779	0	1115	1115	1115
Tue Nov 05 11:43:04 2013	1383651784	0	1115	1115	1115
Tue Nov 05 11:43:02 2013	1383651782	0	1116	1116	1116
Tue Nov 05 11:42:59 2013	1383651779	0	1118	1118	1118
Tue Nov 05 11:43:02 2013	1383651782	0	1120	1120	1120
Tue Nov 05 11:43:02 2013	1383651782	0	1121	1121	1121
Tue Nov 05 11:43:03 2013	1383651783	0	1121	1121	1121
Tue Nov 05 11:43:02 2013	1383651782	0	1121	1121	1121
Tue Nov 05 11:43:02 2013	1383651782	0	1122	1122	1122
Tue Nov 05 11:42:58 2013	1383651778	0	1123	1123	1123
Tue Nov 05 11:42:59 2013	1383651779	0	1125	1125	1125
Tue Nov 05 11:43:02 2013	1383651782	0	1130	1130	1130
Tue Nov 05 11:43:04 2013	1383651784	0	1132	1132	1132
Tue Nov 05 11:42:57 2013	1383651777	2	1131	1133	1131
Tue Nov 05 11:43:01 2013	1383651781	0	1134	1134	1134
Tue Nov 05 11:43:03 2013	1383651783	0	1136	1136	1136
Tue Nov 05 11:42:58 2013	1383651778	0	1137	1137	1137
Tue Nov 05 11:42:59 2013	1383651779	0	1138	1138	1138
Tue Nov 05 11:42:57 2013	1383651777	2	1138	1140	1138
Tue Nov 05 11:43:02 2013	1383651782	0	1141	1141	1141
Tue Nov 05 11:43:01 2013	1383651781	0	1141	1141	1141
Tue Nov 05 11:42:57 2013	1383651777	1	1144	1145	1144
Tue Nov 05 11:42:59 2013	1383651779	0	1145	1145	1145
Tue Nov 05 11:42:59 2013	1383651779	0	1146	1146	1146
Tue Nov 05 11:42:58 2013	1383651778	0	1147	1147	1147
Tue Nov 05 11:43:02 2013	1383651782	0	1149	1149	1149
Tue Nov 05 11:43:00 2013	1383651780	0	1152	1152	1152
Tue Nov 05 11:43:01 2013	1383651781	0	1152	1152	1152
Tue Nov 05 11:42:59 2013	1383651779	0	1154	1154	1154
Tue Nov 05 11:43:03 2013	1383651783	0	1154	1154	1154
Tue Nov 05 11:42:59 2013	1383651779	0	1155	1155	1155
Tue Nov 05 11:42:59 2013	1383651779	0	1158	1158	1158
Tue Nov 05 11:43:01 2013	1383651781	0	1159	1159	1159
Tue Nov 05 11:43:04 2013	1383651784	0	1160	1160	1160
Tue Nov 05 11:43:02 2013	1383651782	0	1160	1160	1160
Tue Nov 05 11:42:59 2013	1383651779	0	1163	1163	1163
Tue Nov 05 11:43:02 2013	1383651782	0	1166	1166	1166
Tue Nov 05 11:43:02 2013	1383651782	0	1167	1167	1167
Tue Nov 05 11:42:57 2013	1383651777	1	1166	1167	1166
Tue Nov 05 11:42:59 2013	1383651779	0	1174	1174	1174
Tue Nov 05 11:43:01 2013	1383651781	0	1174	1174	1174
Tue Nov 05 11:42:59 2013	1383651779	0	1176	1176	1176
Tue Nov 05 11:42:57 2013	1383651777	1	1175	1176	1175
Tue Nov 05 11:43:00 2013	1383651780	0	1178	1178	1178
Tue Nov 05 11:43:02 2013	1383651782	0	1181	1181	1181
Tue Nov 05 11:42:57 2013	1383651777	1	1180	1181	1180
Tue Nov 05 11:43:03 2013	1383651783	0	1181	1181	1181
Tue Nov 05 11:42:57 2013	1383651777	2	1180	1182	1180
Tue Nov 05 11:43:04 2013	1383651784	0	1182	1182	1182
Tue Nov 05 11:42:59 2013	1383651779	0	1182	1183	1182
Tue Nov 05 11:42:59 2013	1383651779	0	1183	1183	1183
Tue Nov 05 11:42:59 2013	1383651779	0	1185	1185	1185
Tue Nov 05 11:42:57 2013	1383651777	1	1185	1186	1185
Tue Nov 05 11:42:57 2013	1383651777	1	1185	1186	1185
Tue Nov 05 11:43:04 2013	1383651784	0	1186	1186	1186
Tue Nov 05 11:42:57 2013	1383651777	1	1185	1186	1185
Tue Nov 05 11:42:58 2013	1383651778	0	1187	1187	1187
Tue Nov 05 11:43:03 2013	1383651783	0	1188	1188	1188
