starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 11:36:54 2013	1383651414	0	177	177	177
Tue Nov 05 11:36:53 2013	1383651413	0	178	178	178
Tue Nov 05 11:36:54 2013	1383651414	0	193	193	193
Tue Nov 05 11:36:54 2013	1383651414	0	198	198	198
Tue Nov 05 11:36:52 2013	1383651412	0	208	208	208
Tue Nov 05 11:36:55 2013	1383651415	0	223	223	223
Tue Nov 05 11:36:52 2013	1383651412	0	230	230	230
Tue Nov 05 11:36:51 2013	1383651411	0	231	231	231
Tue Nov 05 11:36:56 2013	1383651416	0	240	240	240
Tue Nov 05 11:36:52 2013	1383651412	0	243	243	243
Tue Nov 05 11:36:54 2013	1383651414	0	252	252	252
Tue Nov 05 11:36:59 2013	1383651419	0	252	252	252
Tue Nov 05 11:36:54 2013	1383651414	0	256	256	256
Tue Nov 05 11:36:55 2013	1383651415	0	256	256	256
Tue Nov 05 11:36:52 2013	1383651412	0	256	257	256
Tue Nov 05 11:36:53 2013	1383651413	0	262	262	262
Tue Nov 05 11:36:56 2013	1383651416	0	262	263	262
Tue Nov 05 11:36:59 2013	1383651419	0	263	263	263
Tue Nov 05 11:36:53 2013	1383651413	0	265	265	265
Tue Nov 05 11:36:51 2013	1383651411	0	269	269	269
Tue Nov 05 11:36:52 2013	1383651412	0	275	275	275
Tue Nov 05 11:36:54 2013	1383651414	0	276	276	276
Tue Nov 05 11:36:57 2013	1383651417	0	277	277	277
Tue Nov 05 11:36:54 2013	1383651414	0	280	280	280
Tue Nov 05 11:36:57 2013	1383651417	0	281	281	281
Tue Nov 05 11:36:54 2013	1383651414	0	281	281	281
Tue Nov 05 11:36:53 2013	1383651413	0	285	285	285
Tue Nov 05 11:36:54 2013	1383651414	0	287	287	287
Tue Nov 05 11:36:55 2013	1383651415	0	287	287	287
Tue Nov 05 11:36:56 2013	1383651416	0	287	287	287
Tue Nov 05 11:36:53 2013	1383651413	0	287	287	287
Tue Nov 05 11:36:58 2013	1383651418	0	288	288	288
Tue Nov 05 11:36:58 2013	1383651418	0	290	290	290
Tue Nov 05 11:36:56 2013	1383651416	0	291	291	291
Tue Nov 05 11:36:56 2013	1383651416	0	291	291	291
Tue Nov 05 11:36:53 2013	1383651413	0	293	293	293
Tue Nov 05 11:36:53 2013	1383651413	0	298	298	298
Tue Nov 05 11:36:54 2013	1383651414	0	298	298	298
Tue Nov 05 11:36:53 2013	1383651413	0	298	298	298
Tue Nov 05 11:36:56 2013	1383651416	0	298	298	298
Tue Nov 05 11:36:56 2013	1383651416	0	298	299	298
Tue Nov 05 11:36:54 2013	1383651414	0	299	299	299
Tue Nov 05 11:36:51 2013	1383651411	1	299	300	298
Tue Nov 05 11:36:53 2013	1383651413	0	300	300	300
Tue Nov 05 11:36:53 2013	1383651413	0	302	302	302
Tue Nov 05 11:36:54 2013	1383651414	0	302	302	302
Tue Nov 05 11:36:56 2013	1383651416	1	302	303	302
Tue Nov 05 11:36:54 2013	1383651414	0	304	304	303
Tue Nov 05 11:36:54 2013	1383651414	0	304	304	304
Tue Nov 05 11:36:52 2013	1383651412	0	304	304	304
Tue Nov 05 11:36:52 2013	1383651412	0	306	306	306
Tue Nov 05 11:36:56 2013	1383651416	0	306	306	306
Tue Nov 05 11:36:59 2013	1383651419	0	306	306	306
Tue Nov 05 11:36:53 2013	1383651413	0	308	308	308
Tue Nov 05 11:36:53 2013	1383651413	0	309	309	309
Tue Nov 05 11:36:54 2013	1383651414	0	309	309	309
Tue Nov 05 11:36:53 2013	1383651413	0	310	310	310
Tue Nov 05 11:36:54 2013	1383651414	0	310	310	310
Tue Nov 05 11:36:56 2013	1383651416	0	311	311	311
Tue Nov 05 11:36:55 2013	1383651415	0	311	312	311
Tue Nov 05 11:36:53 2013	1383651413	0	312	312	312
Tue Nov 05 11:36:56 2013	1383651416	0	314	314	314
Tue Nov 05 11:36:53 2013	1383651413	0	315	315	315
Tue Nov 05 11:36:54 2013	1383651414	0	317	317	317
Tue Nov 05 11:36:51 2013	1383651411	0	318	318	318
Tue Nov 05 11:36:55 2013	1383651415	0	319	319	319
Tue Nov 05 11:36:54 2013	1383651414	0	319	319	319
Tue Nov 05 11:36:55 2013	1383651415	0	319	319	319
Tue Nov 05 11:36:54 2013	1383651414	0	321	321	321
Tue Nov 05 11:36:54 2013	1383651414	0	321	321	321
Tue Nov 05 11:36:53 2013	1383651413	0	323	323	323
Tue Nov 05 11:36:52 2013	1383651412	0	323	323	323
Tue Nov 05 11:36:55 2013	1383651415	0	323	323	323
Tue Nov 05 11:36:54 2013	1383651414	0	323	324	323
Tue Nov 05 11:36:53 2013	1383651413	0	326	326	326
Tue Nov 05 11:36:56 2013	1383651416	0	326	326	326
Tue Nov 05 11:36:59 2013	1383651419	0	326	327	326
Tue Nov 05 11:36:51 2013	1383651411	0	327	327	327
Tue Nov 05 11:36:52 2013	1383651412	0	328	328	328
Tue Nov 05 11:36:52 2013	1383651412	0	329	329	329
Tue Nov 05 11:36:53 2013	1383651413	0	329	329	329
Tue Nov 05 11:36:56 2013	1383651416	0	330	330	330
Tue Nov 05 11:36:55 2013	1383651415	0	330	330	330
Tue Nov 05 11:36:52 2013	1383651412	0	330	330	330
Tue Nov 05 11:36:52 2013	1383651412	0	330	330	330
Tue Nov 05 11:36:57 2013	1383651417	0	332	332	332
Tue Nov 05 11:36:52 2013	1383651412	0	333	333	333
Tue Nov 05 11:36:56 2013	1383651416	0	333	333	333
Tue Nov 05 11:36:56 2013	1383651416	0	334	334	334
Tue Nov 05 11:36:55 2013	1383651415	0	334	334	334
Tue Nov 05 11:36:53 2013	1383651413	0	335	335	335
Tue Nov 05 11:36:54 2013	1383651414	0	336	336	336
Tue Nov 05 11:36:52 2013	1383651412	0	339	339	339
Tue Nov 05 11:36:56 2013	1383651416	0	339	339	339
Tue Nov 05 11:36:51 2013	1383651411	0	341	341	341
Tue Nov 05 11:36:58 2013	1383651418	0	342	342	342
Tue Nov 05 11:36:54 2013	1383651414	0	342	342	342
Tue Nov 05 11:36:57 2013	1383651417	0	342	342	342
Tue Nov 05 11:36:55 2013	1383651415	0	343	343	343
Tue Nov 05 11:36:52 2013	1383651412	0	343	343	343
Tue Nov 05 11:36:52 2013	1383651412	0	345	345	345
Tue Nov 05 11:36:55 2013	1383651415	0	346	346	346
Tue Nov 05 11:36:57 2013	1383651417	0	346	346	346
Tue Nov 05 11:36:53 2013	1383651413	0	347	347	347
Tue Nov 05 11:36:57 2013	1383651417	0	347	347	347
Tue Nov 05 11:36:53 2013	1383651413	0	347	347	347
Tue Nov 05 11:36:57 2013	1383651417	0	350	350	350
Tue Nov 05 11:36:53 2013	1383651413	0	350	350	350
Tue Nov 05 11:36:52 2013	1383651412	0	351	351	351
Tue Nov 05 11:36:53 2013	1383651413	0	352	352	352
Tue Nov 05 11:36:57 2013	1383651417	0	352	352	352
Tue Nov 05 11:36:53 2013	1383651413	0	353	354	353
Tue Nov 05 11:36:51 2013	1383651411	0	354	354	354
Tue Nov 05 11:36:56 2013	1383651416	0	354	354	354
Tue Nov 05 11:36:55 2013	1383651415	0	355	355	355
Tue Nov 05 11:36:51 2013	1383651411	0	355	356	355
Tue Nov 05 11:36:51 2013	1383651411	0	356	356	356
Tue Nov 05 11:36:58 2013	1383651418	0	356	356	356
Tue Nov 05 11:36:57 2013	1383651417	0	356	356	356
Tue Nov 05 11:36:54 2013	1383651414	0	358	358	358
Tue Nov 05 11:36:52 2013	1383651412	0	358	358	358
Tue Nov 05 11:36:52 2013	1383651412	0	358	358	358
Tue Nov 05 11:36:55 2013	1383651415	0	360	360	360
Tue Nov 05 11:36:55 2013	1383651415	0	360	360	360
Tue Nov 05 11:36:55 2013	1383651415	0	361	361	361
Tue Nov 05 11:36:55 2013	1383651415	0	361	361	361
Tue Nov 05 11:36:55 2013	1383651415	0	362	362	362
Tue Nov 05 11:36:53 2013	1383651413	0	362	362	362
Tue Nov 05 11:36:52 2013	1383651412	0	363	363	363
Tue Nov 05 11:36:54 2013	1383651414	0	363	363	363
Tue Nov 05 11:36:53 2013	1383651413	0	363	363	363
Tue Nov 05 11:36:53 2013	1383651413	0	365	365	365
Tue Nov 05 11:36:55 2013	1383651415	0	366	366	366
Tue Nov 05 11:36:57 2013	1383651417	0	367	367	367
Tue Nov 05 11:36:54 2013	1383651414	0	368	368	368
Tue Nov 05 11:36:55 2013	1383651415	0	368	369	368
Tue Nov 05 11:36:52 2013	1383651412	0	370	370	370
Tue Nov 05 11:36:54 2013	1383651414	0	373	373	373
Tue Nov 05 11:36:52 2013	1383651412	0	375	375	375
Tue Nov 05 11:36:51 2013	1383651411	1	374	375	367
Tue Nov 05 11:36:54 2013	1383651414	0	376	376	375
Tue Nov 05 11:36:53 2013	1383651413	0	376	376	376
Tue Nov 05 11:36:55 2013	1383651415	0	376	376	376
Tue Nov 05 11:36:52 2013	1383651412	0	377	377	377
Tue Nov 05 11:36:52 2013	1383651412	0	377	377	377
Tue Nov 05 11:36:52 2013	1383651412	0	378	378	378
Tue Nov 05 11:36:55 2013	1383651415	0	378	378	378
Tue Nov 05 11:36:54 2013	1383651414	0	378	378	378
Tue Nov 05 11:36:53 2013	1383651413	0	378	378	378
Tue Nov 05 11:36:53 2013	1383651413	0	379	379	379
Tue Nov 05 11:36:56 2013	1383651416	0	380	380	380
Tue Nov 05 11:36:54 2013	1383651414	0	382	382	382
Tue Nov 05 11:36:55 2013	1383651415	0	382	382	382
Tue Nov 05 11:36:58 2013	1383651418	0	383	383	383
Tue Nov 05 11:36:54 2013	1383651414	0	383	383	383
Tue Nov 05 11:36:55 2013	1383651415	0	383	383	383
Tue Nov 05 11:36:55 2013	1383651415	0	384	384	384
Tue Nov 05 11:36:52 2013	1383651412	0	384	384	384
Tue Nov 05 11:36:51 2013	1383651411	0	386	386	386
Tue Nov 05 11:36:53 2013	1383651413	0	386	386	386
Tue Nov 05 11:36:57 2013	1383651417	0	386	386	386
Tue Nov 05 11:36:55 2013	1383651415	0	387	387	387
Tue Nov 05 11:36:53 2013	1383651413	0	387	387	387
Tue Nov 05 11:36:56 2013	1383651416	0	389	389	389
Tue Nov 05 11:36:52 2013	1383651412	0	390	390	390
Tue Nov 05 11:36:51 2013	1383651411	8	383	391	383
Tue Nov 05 11:36:55 2013	1383651415	0	391	391	390
Tue Nov 05 11:36:55 2013	1383651415	0	392	392	392
Tue Nov 05 11:36:54 2013	1383651414	0	392	392	392
Tue Nov 05 11:36:57 2013	1383651417	0	393	393	393
Tue Nov 05 11:36:56 2013	1383651416	0	394	394	394
Tue Nov 05 11:36:55 2013	1383651415	0	395	395	395
Tue Nov 05 11:36:52 2013	1383651412	0	395	395	395
Tue Nov 05 11:36:54 2013	1383651414	0	395	395	395
Tue Nov 05 11:36:57 2013	1383651417	0	396	396	396
Tue Nov 05 11:36:55 2013	1383651415	0	396	396	396
Tue Nov 05 11:36:54 2013	1383651414	0	397	397	396
Tue Nov 05 11:36:56 2013	1383651416	0	397	397	397
Tue Nov 05 11:36:55 2013	1383651415	0	397	397	397
Tue Nov 05 11:36:52 2013	1383651412	0	398	398	398
Tue Nov 05 11:36:52 2013	1383651412	0	398	398	398
Tue Nov 05 11:36:59 2013	1383651419	0	399	399	399
Tue Nov 05 11:36:55 2013	1383651415	0	400	400	400
Tue Nov 05 11:36:55 2013	1383651415	0	400	400	400
Tue Nov 05 11:36:56 2013	1383651416	0	400	400	400
Tue Nov 05 11:36:57 2013	1383651417	0	400	400	400
Tue Nov 05 11:36:58 2013	1383651418	0	401	401	401
Tue Nov 05 11:36:58 2013	1383651418	0	402	402	402
Tue Nov 05 11:36:55 2013	1383651415	0	402	402	402
Tue Nov 05 11:36:53 2013	1383651413	0	402	402	402
Tue Nov 05 11:36:53 2013	1383651413	0	403	403	403
Tue Nov 05 11:36:52 2013	1383651412	0	403	403	403
Tue Nov 05 11:36:58 2013	1383651418	0	404	404	404
Tue Nov 05 11:36:51 2013	1383651411	8	397	405	397
Tue Nov 05 11:36:54 2013	1383651414	0	405	405	405
Tue Nov 05 11:36:55 2013	1383651415	0	405	405	405
Tue Nov 05 11:36:53 2013	1383651413	0	406	406	406
Tue Nov 05 11:36:52 2013	1383651412	0	406	406	406
Tue Nov 05 11:36:51 2013	1383651411	0	406	406	406
Tue Nov 05 11:36:52 2013	1383651412	0	407	407	407
Tue Nov 05 11:36:55 2013	1383651415	0	407	407	407
Tue Nov 05 11:36:57 2013	1383651417	0	407	407	407
Tue Nov 05 11:36:54 2013	1383651414	0	408	408	408
Tue Nov 05 11:36:53 2013	1383651413	0	408	408	408
Tue Nov 05 11:36:51 2013	1383651411	0	408	408	408
Tue Nov 05 11:36:52 2013	1383651412	0	409	409	409
Tue Nov 05 11:36:56 2013	1383651416	0	409	409	409
Tue Nov 05 11:36:53 2013	1383651413	0	410	410	410
Tue Nov 05 11:36:52 2013	1383651412	0	410	410	410
Tue Nov 05 11:36:53 2013	1383651413	0	410	410	410
Tue Nov 05 11:36:56 2013	1383651416	0	411	411	411
Tue Nov 05 11:36:59 2013	1383651419	0	411	411	411
Tue Nov 05 11:36:55 2013	1383651415	0	412	412	412
Tue Nov 05 11:36:51 2013	1383651411	8	405	413	405
Tue Nov 05 11:36:52 2013	1383651412	0	413	413	413
Tue Nov 05 11:36:56 2013	1383651416	0	414	414	414
Tue Nov 05 11:36:52 2013	1383651412	0	415	415	415
Tue Nov 05 11:36:59 2013	1383651419	0	415	415	415
Tue Nov 05 11:36:59 2013	1383651419	0	417	417	417
Tue Nov 05 11:36:55 2013	1383651415	0	417	417	417
Tue Nov 05 11:36:56 2013	1383651416	0	418	418	418
Tue Nov 05 11:36:58 2013	1383651418	0	419	419	419
Tue Nov 05 11:36:55 2013	1383651415	0	419	419	419
Tue Nov 05 11:36:52 2013	1383651412	0	419	419	419
Tue Nov 05 11:36:53 2013	1383651413	0	419	419	419
Tue Nov 05 11:36:55 2013	1383651415	0	419	419	419
Tue Nov 05 11:36:51 2013	1383651411	0	419	420	419
Tue Nov 05 11:36:52 2013	1383651412	0	420	420	420
Tue Nov 05 11:36:51 2013	1383651411	8	412	420	412
Tue Nov 05 11:36:56 2013	1383651416	0	420	421	420
Tue Nov 05 11:36:54 2013	1383651414	0	420	421	420
Tue Nov 05 11:36:59 2013	1383651419	0	421	421	421
Tue Nov 05 11:36:56 2013	1383651416	0	421	421	421
Tue Nov 05 11:36:55 2013	1383651415	0	421	421	421
Tue Nov 05 11:36:59 2013	1383651419	0	422	422	422
Tue Nov 05 11:36:54 2013	1383651414	0	422	422	422
Tue Nov 05 11:36:57 2013	1383651417	0	422	422	422
Tue Nov 05 11:36:59 2013	1383651419	0	422	422	422
Tue Nov 05 11:36:54 2013	1383651414	0	425	425	425
Tue Nov 05 11:36:51 2013	1383651411	0	426	426	426
Tue Nov 05 11:36:56 2013	1383651416	0	428	428	428
Tue Nov 05 11:36:56 2013	1383651416	0	430	430	430
Tue Nov 05 11:36:55 2013	1383651415	0	430	430	430
Tue Nov 05 11:36:54 2013	1383651414	0	431	431	431
Tue Nov 05 11:36:57 2013	1383651417	0	431	431	431
Tue Nov 05 11:36:55 2013	1383651415	0	432	432	432
Tue Nov 05 11:36:58 2013	1383651418	0	433	433	433
Tue Nov 05 11:36:56 2013	1383651416	0	435	435	435
Tue Nov 05 11:36:58 2013	1383651418	0	435	435	435
Tue Nov 05 11:36:51 2013	1383651411	0	436	436	436
Tue Nov 05 11:36:56 2013	1383651416	0	437	437	437
Tue Nov 05 11:36:56 2013	1383651416	0	437	437	437
Tue Nov 05 11:36:51 2013	1383651411	8	429	438	429
Tue Nov 05 11:36:58 2013	1383651418	0	438	438	438
Tue Nov 05 11:36:53 2013	1383651413	0	440	440	440
Tue Nov 05 11:36:53 2013	1383651413	0	441	441	441
Tue Nov 05 11:36:57 2013	1383651417	0	441	441	441
Tue Nov 05 11:36:56 2013	1383651416	0	442	442	442
Tue Nov 05 11:36:51 2013	1383651411	8	435	443	435
Tue Nov 05 11:36:55 2013	1383651415	0	444	444	444
Tue Nov 05 11:36:55 2013	1383651415	0	449	449	449
Tue Nov 05 11:36:58 2013	1383651418	0	449	449	449
Tue Nov 05 11:36:57 2013	1383651417	0	450	451	450
Tue Nov 05 11:36:59 2013	1383651419	0	452	453	452
Tue Nov 05 11:36:51 2013	1383651411	0	454	454	454
Tue Nov 05 11:36:57 2013	1383651417	0	454	454	454
Tue Nov 05 11:36:53 2013	1383651413	0	458	458	458
Tue Nov 05 11:36:51 2013	1383651411	8	450	458	450
Tue Nov 05 11:36:55 2013	1383651415	0	458	459	458
Tue Nov 05 11:36:56 2013	1383651416	0	459	459	459
Tue Nov 05 11:36:57 2013	1383651417	0	461	461	461
Tue Nov 05 11:36:59 2013	1383651419	0	465	465	465
Tue Nov 05 11:36:58 2013	1383651418	0	466	466	466
Tue Nov 05 11:36:57 2013	1383651417	0	468	468	468
Tue Nov 05 11:36:54 2013	1383651414	0	469	469	469
Tue Nov 05 11:36:59 2013	1383651419	0	469	469	469
Tue Nov 05 11:36:53 2013	1383651413	0	472	473	472
