starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 10:37:16 2013	1383647836	3	474	477	474
Tue Nov 05 10:37:16 2013	1383647836	3	730	732	730
Tue Nov 05 10:37:16 2013	1383647836	2	769	771	769
Tue Nov 05 10:37:16 2013	1383647836	2	815	817	815
Tue Nov 05 10:37:24 2013	1383647844	0	839	840	839
Tue Nov 05 10:37:24 2013	1383647844	0	875	875	875
Tue Nov 05 10:37:16 2013	1383647836	3	896	899	896
Tue Nov 05 10:37:16 2013	1383647836	2	901	904	901
Tue Nov 05 10:37:24 2013	1383647844	0	908	908	908
Tue Nov 05 10:37:16 2013	1383647836	2	913	915	913
Tue Nov 05 10:37:24 2013	1383647844	0	938	938	938
Tue Nov 05 10:37:17 2013	1383647837	0	940	940	940
Tue Nov 05 10:37:24 2013	1383647844	0	940	940	940
Tue Nov 05 10:37:16 2013	1383647836	2	939	941	939
Tue Nov 05 10:37:24 2013	1383647844	0	945	945	945
Tue Nov 05 10:37:24 2013	1383647844	0	953	953	953
Tue Nov 05 10:37:19 2013	1383647839	0	966	966	966
Tue Nov 05 10:37:18 2013	1383647838	0	967	967	967
Tue Nov 05 10:37:16 2013	1383647836	2	973	974	973
Tue Nov 05 10:37:18 2013	1383647838	0	982	982	982
Tue Nov 05 10:37:16 2013	1383647836	2	981	983	981
Tue Nov 05 10:37:24 2013	1383647844	0	984	985	984
Tue Nov 05 10:37:17 2013	1383647837	0	987	987	987
Tue Nov 05 10:37:16 2013	1383647836	3	986	989	986
Tue Nov 05 10:37:16 2013	1383647836	1	990	992	990
Tue Nov 05 10:37:18 2013	1383647838	0	994	994	994
Tue Nov 05 10:37:18 2013	1383647838	0	997	997	997
Tue Nov 05 10:37:17 2013	1383647837	0	997	997	997
Tue Nov 05 10:37:18 2013	1383647838	0	1000	1000	1000
Tue Nov 05 10:37:18 2013	1383647838	0	1001	1001	1001
Tue Nov 05 10:37:17 2013	1383647837	0	1004	1004	1004
Tue Nov 05 10:37:18 2013	1383647838	0	1005	1005	1005
Tue Nov 05 10:37:18 2013	1383647838	0	1006	1006	1006
Tue Nov 05 10:37:18 2013	1383647838	0	1006	1006	1006
Tue Nov 05 10:37:18 2013	1383647838	0	1007	1007	1007
Tue Nov 05 10:37:17 2013	1383647837	0	1010	1010	1010
Tue Nov 05 10:37:19 2013	1383647839	0	1015	1015	1015
Tue Nov 05 10:37:18 2013	1383647838	0	1015	1015	1015
Tue Nov 05 10:37:18 2013	1383647838	0	1017	1017	1017
Tue Nov 05 10:37:24 2013	1383647844	0	1018	1018	1018
Tue Nov 05 10:37:18 2013	1383647838	0	1018	1019	1018
Tue Nov 05 10:37:18 2013	1383647838	0	1020	1020	1020
Tue Nov 05 10:37:16 2013	1383647836	1	1020	1022	1020
Tue Nov 05 10:37:19 2013	1383647839	0	1022	1022	1022
Tue Nov 05 10:37:16 2013	1383647836	2	1023	1025	1023
Tue Nov 05 10:37:18 2013	1383647838	0	1028	1028	1028
Tue Nov 05 10:37:24 2013	1383647844	0	1030	1030	1030
Tue Nov 05 10:37:16 2013	1383647836	1	1028	1030	1028
Tue Nov 05 10:37:17 2013	1383647837	0	1031	1031	1031
Tue Nov 05 10:37:17 2013	1383647837	0	1032	1032	1032
Tue Nov 05 10:37:19 2013	1383647839	0	1032	1032	1032
Tue Nov 05 10:37:17 2013	1383647837	0	1033	1033	1033
Tue Nov 05 10:37:17 2013	1383647837	0	1034	1034	1034
Tue Nov 05 10:37:19 2013	1383647839	0	1035	1035	1035
Tue Nov 05 10:37:24 2013	1383647844	0	1036	1036	1035
Tue Nov 05 10:37:18 2013	1383647838	0	1037	1037	1037
Tue Nov 05 10:37:19 2013	1383647839	0	1037	1037	1037
Tue Nov 05 10:37:17 2013	1383647837	0	1037	1037	1037
Tue Nov 05 10:37:18 2013	1383647838	0	1039	1039	1038
Tue Nov 05 10:37:24 2013	1383647844	0	1039	1039	1039
Tue Nov 05 10:37:17 2013	1383647837	0	1040	1040	1040
Tue Nov 05 10:37:18 2013	1383647838	0	1041	1041	1041
Tue Nov 05 10:37:16 2013	1383647836	2	1041	1043	1041
Tue Nov 05 10:37:18 2013	1383647838	0	1043	1043	1043
Tue Nov 05 10:37:17 2013	1383647837	0	1046	1046	1046
Tue Nov 05 10:37:24 2013	1383647844	0	1049	1049	1049
Tue Nov 05 10:37:17 2013	1383647837	0	1051	1051	1051
Tue Nov 05 10:37:18 2013	1383647838	0	1052	1052	1052
Tue Nov 05 10:37:17 2013	1383647837	0	1052	1052	1052
Tue Nov 05 10:37:20 2013	1383647840	0	1053	1053	1053
Tue Nov 05 10:37:17 2013	1383647837	0	1053	1053	1053
Tue Nov 05 10:37:24 2013	1383647844	0	1053	1053	1053
Tue Nov 05 10:37:20 2013	1383647840	0	1053	1053	1053
Tue Nov 05 10:37:18 2013	1383647838	0	1054	1054	1054
Tue Nov 05 10:37:17 2013	1383647837	0	1055	1055	1055
Tue Nov 05 10:37:18 2013	1383647838	0	1055	1056	1055
Tue Nov 05 10:37:18 2013	1383647838	0	1056	1056	1056
Tue Nov 05 10:37:17 2013	1383647837	0	1056	1056	1056
Tue Nov 05 10:37:18 2013	1383647838	0	1057	1057	1057
Tue Nov 05 10:37:18 2013	1383647838	0	1058	1058	1058
Tue Nov 05 10:37:17 2013	1383647837	0	1059	1059	1059
Tue Nov 05 10:37:17 2013	1383647837	0	1059	1059	1059
Tue Nov 05 10:37:24 2013	1383647844	0	1059	1059	1059
Tue Nov 05 10:37:18 2013	1383647838	0	1063	1063	1063
Tue Nov 05 10:37:17 2013	1383647837	0	1063	1063	1063
Tue Nov 05 10:37:18 2013	1383647838	0	1064	1064	1064
Tue Nov 05 10:37:18 2013	1383647838	0	1065	1065	1065
Tue Nov 05 10:37:18 2013	1383647838	0	1066	1066	1066
Tue Nov 05 10:37:17 2013	1383647837	0	1069	1069	1069
Tue Nov 05 10:37:17 2013	1383647837	0	1070	1070	1070
Tue Nov 05 10:37:18 2013	1383647838	0	1071	1071	1071
Tue Nov 05 10:37:17 2013	1383647837	0	1071	1071	1071
Tue Nov 05 10:37:17 2013	1383647837	0	1073	1074	1073
Tue Nov 05 10:37:19 2013	1383647839	0	1075	1075	1074
Tue Nov 05 10:37:22 2013	1383647842	0	1075	1075	1075
Tue Nov 05 10:37:17 2013	1383647837	0	1076	1076	1076
Tue Nov 05 10:37:17 2013	1383647837	0	1076	1076	1076
Tue Nov 05 10:37:17 2013	1383647837	0	1077	1077	1076
Tue Nov 05 10:37:16 2013	1383647836	2	1076	1077	1075
Tue Nov 05 10:37:21 2013	1383647841	0	1077	1077	1077
Tue Nov 05 10:37:16 2013	1383647836	2	1077	1079	1077
Tue Nov 05 10:37:19 2013	1383647839	0	1079	1079	1079
Tue Nov 05 10:37:20 2013	1383647840	0	1079	1079	1079
Tue Nov 05 10:37:24 2013	1383647844	0	1079	1079	1079
Tue Nov 05 10:37:16 2013	1383647836	0	1079	1080	1079
Tue Nov 05 10:37:17 2013	1383647837	0	1080	1080	1080
Tue Nov 05 10:37:18 2013	1383647838	0	1081	1081	1081
Tue Nov 05 10:37:22 2013	1383647842	0	1082	1082	1082
Tue Nov 05 10:37:17 2013	1383647837	0	1083	1083	1083
Tue Nov 05 10:37:16 2013	1383647836	1	1082	1083	1082
Tue Nov 05 10:37:17 2013	1383647837	0	1089	1089	1089
Tue Nov 05 10:37:17 2013	1383647837	0	1091	1091	1091
Tue Nov 05 10:37:16 2013	1383647836	2	1090	1092	1090
Tue Nov 05 10:37:17 2013	1383647837	0	1093	1093	1093
Tue Nov 05 10:37:18 2013	1383647838	0	1094	1094	1094
