starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 15 17:18:39 2013	1381853919	1	165	166	153
Tue Oct 15 17:18:43 2013	1381853923	0	207	207	207
Tue Oct 15 17:18:42 2013	1381853922	0	222	222	222
Tue Oct 15 17:18:57 2013	1381853937	0	241	241	233
Tue Oct 15 17:18:39 2013	1381853919	0	285	285	277
Tue Oct 15 17:18:39 2013	1381853919	0	291	291	291
Tue Oct 15 17:18:41 2013	1381853921	0	297	297	297
Tue Oct 15 17:18:43 2013	1381853923	0	305	305	304
Tue Oct 15 17:18:44 2013	1381853924	0	307	307	307
Tue Oct 15 17:18:40 2013	1381853920	0	311	311	311
Tue Oct 15 17:18:40 2013	1381853920	0	312	312	304
Tue Oct 15 17:18:40 2013	1381853920	0	314	314	313
Tue Oct 15 17:18:42 2013	1381853922	0	315	315	315
Tue Oct 15 17:18:50 2013	1381853930	0	317	317	317
Tue Oct 15 17:18:40 2013	1381853920	0	319	319	319
Tue Oct 15 17:18:41 2013	1381853921	0	322	322	303
Tue Oct 15 17:18:41 2013	1381853921	0	323	323	314
Tue Oct 15 17:18:44 2013	1381853924	0	323	323	323
Tue Oct 15 17:18:42 2013	1381853922	0	323	323	323
Tue Oct 15 17:18:43 2013	1381853923	0	324	324	324
Tue Oct 15 17:18:48 2013	1381853928	0	327	327	327
Tue Oct 15 17:18:43 2013	1381853923	0	327	327	318
Tue Oct 15 17:18:39 2013	1381853919	7	321	328	319
Tue Oct 15 17:18:43 2013	1381853923	0	329	329	329
Tue Oct 15 17:18:54 2013	1381853934	0	331	331	331
Tue Oct 15 17:18:48 2013	1381853928	0	332	332	332
Tue Oct 15 17:18:43 2013	1381853923	0	332	332	332
Tue Oct 15 17:18:42 2013	1381853922	0	336	336	335
Tue Oct 15 17:18:41 2013	1381853921	0	336	336	330
Tue Oct 15 17:18:42 2013	1381853922	0	336	336	336
Tue Oct 15 17:18:43 2013	1381853923	0	337	337	323
Tue Oct 15 17:18:43 2013	1381853923	0	339	339	339
Tue Oct 15 17:18:53 2013	1381853933	0	341	341	341
Tue Oct 15 17:18:42 2013	1381853922	0	341	341	333
Tue Oct 15 17:18:44 2013	1381853924	0	342	342	342
Tue Oct 15 17:18:44 2013	1381853924	0	343	343	338
Tue Oct 15 17:18:44 2013	1381853924	0	344	344	336
Tue Oct 15 17:18:42 2013	1381853922	0	345	345	340
Tue Oct 15 17:18:39 2013	1381853919	0	346	346	338
Tue Oct 15 17:18:39 2013	1381853919	5	342	347	339
