starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 15 17:21:08 2013	1381854068	1	665	666	663
Tue Oct 15 17:21:08 2013	1381854068	3	726	730	721
Tue Oct 15 17:21:08 2013	1381854068	19	748	768	748
Tue Oct 15 17:21:08 2013	1381854068	31	739	770	739
Tue Oct 15 17:21:08 2013	1381854068	9	763	772	761
Tue Oct 15 17:21:08 2013	1381854068	31	743	774	743
Tue Oct 15 17:21:08 2013	1381854068	74	732	806	732
Tue Oct 15 17:21:08 2013	1381854068	31	781	812	781
Tue Oct 15 17:21:08 2013	1381854068	58	759	817	759
Tue Oct 15 17:21:08 2013	1381854068	74	768	842	768
Tue Oct 15 17:21:08 2013	1381854068	66	797	863	779
Tue Oct 15 17:21:08 2013	1381854068	39	824	863	805
Tue Oct 15 17:21:08 2013	1381854068	39	840	879	824
Tue Oct 15 17:21:08 2013	1381854068	66	826	892	818
Tue Oct 15 17:21:08 2013	1381854068	47	877	924	866
Tue Oct 15 17:21:08 2013	1381854068	58	878	935	870
Tue Oct 15 17:21:08 2013	1381854068	11	931	942	923
Tue Oct 15 17:21:08 2013	1381854068	19	929	949	918
Tue Oct 15 17:21:08 2013	1381854068	31	961	992	953
Tue Oct 15 17:21:08 2013	1381854068	39	967	1006	967
Tue Oct 15 17:21:08 2013	1381854068	74	937	1011	937
Tue Oct 15 17:21:27 2013	1381854087	0	1015	1015	1015
Tue Oct 15 17:21:27 2013	1381854087	0	1051	1051	1051
Tue Oct 15 17:21:27 2013	1381854087	0	1053	1053	1053
Tue Oct 15 17:21:27 2013	1381854087	0	1055	1055	1055
Tue Oct 15 17:21:09 2013	1381854069	0	1181	1181	1181
Tue Oct 15 17:21:27 2013	1381854087	0	1183	1183	1182
Tue Oct 15 17:21:27 2013	1381854087	0	1191	1191	1191
Tue Oct 15 17:21:09 2013	1381854069	0	1255	1255	1255
Tue Oct 15 17:21:27 2013	1381854087	0	1308	1308	1308
Tue Oct 15 17:21:10 2013	1381854070	0	1309	1309	1309
Tue Oct 15 17:21:09 2013	1381854069	0	1310	1310	1310
Tue Oct 15 17:21:10 2013	1381854070	0	1366	1366	1366
Tue Oct 15 17:21:09 2013	1381854069	0	1397	1397	1397
Tue Oct 15 17:21:10 2013	1381854070	0	1399	1399	1399
Tue Oct 15 17:21:27 2013	1381854087	0	1410	1410	1410
Tue Oct 15 17:21:10 2013	1381854070	0	1463	1463	1463
Tue Oct 15 17:21:11 2013	1381854071	0	1505	1505	1505
Tue Oct 15 17:21:27 2013	1381854087	0	1507	1507	1507
Tue Oct 15 17:21:13 2013	1381854073	0	1536	1536	1536
Tue Oct 15 17:21:08 2013	1381854068	74	1467	1540	1466
Tue Oct 15 17:21:25 2013	1381854085	0	1567	1567	1563
Tue Oct 15 17:21:10 2013	1381854070	0	1569	1569	1561
Tue Oct 15 17:21:26 2013	1381854086	0	1572	1572	1572
Tue Oct 15 17:21:11 2013	1381854071	0	1573	1573	1573
Tue Oct 15 17:21:08 2013	1381854068	74	1503	1577	1503
Tue Oct 15 17:21:13 2013	1381854073	0	1580	1580	1556
Tue Oct 15 17:21:27 2013	1381854087	0	1584	1584	1584
Tue Oct 15 17:21:25 2013	1381854085	0	1587	1587	1586
Tue Oct 15 17:21:10 2013	1381854070	0	1591	1591	1591
Tue Oct 15 17:21:24 2013	1381854084	0	1597	1597	1597
Tue Oct 15 17:21:13 2013	1381854073	0	1598	1598	1598
Tue Oct 15 17:21:11 2013	1381854071	0	1602	1602	1602
Tue Oct 15 17:21:14 2013	1381854074	0	1606	1606	1606
Tue Oct 15 17:21:11 2013	1381854071	0	1614	1614	1606
Tue Oct 15 17:21:17 2013	1381854077	0	1616	1616	1616
Tue Oct 15 17:21:13 2013	1381854073	0	1621	1621	1621
Tue Oct 15 17:21:13 2013	1381854073	0	1625	1625	1625
Tue Oct 15 17:21:13 2013	1381854073	0	1626	1626	1626
Tue Oct 15 17:21:13 2013	1381854073	0	1626	1626	1592
Tue Oct 15 17:21:26 2013	1381854086	0	1630	1630	1630
Tue Oct 15 17:21:13 2013	1381854073	0	1635	1635	1635
Tue Oct 15 17:21:10 2013	1381854070	0	1637	1637	1637
Tue Oct 15 17:21:08 2013	1381854068	74	1563	1637	1563
Tue Oct 15 17:21:23 2013	1381854083	0	1643	1644	1612
Tue Oct 15 17:21:19 2013	1381854079	0	1644	1644	1644
Tue Oct 15 17:21:23 2013	1381854083	0	1645	1645	1640
Tue Oct 15 17:21:17 2013	1381854077	0	1652	1652	1652
Tue Oct 15 17:21:14 2013	1381854074	0	1654	1654	1654
Tue Oct 15 17:21:26 2013	1381854086	0	1661	1661	1657
