starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 04 10:20:37 2013	1383560437	2	1354	1357	1354
Mon Nov 04 10:20:37 2013	1383560437	2	1393	1396	1393
Mon Nov 04 10:20:37 2013	1383560437	2	1394	1396	1394
Mon Nov 04 10:20:37 2013	1383560437	2	1471	1474	1471
Mon Nov 04 10:20:37 2013	1383560437	1	1492	1494	1492
Mon Nov 04 10:20:37 2013	1383560437	2	1498	1500	1498
Mon Nov 04 10:20:37 2013	1383560437	2	1545	1547	1545
Mon Nov 04 10:20:37 2013	1383560437	1	1559	1561	1559
Mon Nov 04 10:20:37 2013	1383560437	2	1567	1569	1567
Mon Nov 04 10:20:37 2013	1383560437	2	1576	1578	1576
Mon Nov 04 10:20:37 2013	1383560437	2	1589	1591	1589
Mon Nov 04 10:20:37 2013	1383560437	2	1601	1603	1601
Mon Nov 04 10:20:37 2013	1383560437	2	1669	1671	1669
Mon Nov 04 10:20:37 2013	1383560437	2	1693	1696	1693
Mon Nov 04 10:20:37 2013	1383560437	2	1727	1729	1727
Mon Nov 04 10:20:37 2013	1383560437	2	1764	1766	1764
Mon Nov 04 10:20:37 2013	1383560437	2	1765	1767	1765
Mon Nov 04 10:20:37 2013	1383560437	2	1779	1781	1779
Mon Nov 04 10:20:37 2013	1383560437	2	1786	1788	1786
Mon Nov 04 10:20:37 2013	1383560437	2	1786	1788	1786
Mon Nov 04 10:20:37 2013	1383560437	1	1793	1795	1793
Mon Nov 04 10:20:37 2013	1383560437	2	1797	1800	1797
Mon Nov 04 10:20:37 2013	1383560437	2	1799	1801	1799
Mon Nov 04 10:20:37 2013	1383560437	2	1807	1808	1807
Mon Nov 04 10:20:37 2013	1383560437	2	1808	1810	1808
Mon Nov 04 10:20:37 2013	1383560437	2	1810	1811	1810
Mon Nov 04 10:20:37 2013	1383560437	2	1811	1813	1811
Mon Nov 04 10:20:37 2013	1383560437	2	1815	1817	1815
Mon Nov 04 10:20:37 2013	1383560437	2	1818	1820	1818
Mon Nov 04 10:20:37 2013	1383560437	2	1822	1824	1822
Mon Nov 04 10:20:37 2013	1383560437	2	1827	1829	1827
Mon Nov 04 10:20:37 2013	1383560437	2	1829	1831	1829
Mon Nov 04 10:20:37 2013	1383560437	1	1830	1832	1830
Mon Nov 04 10:20:37 2013	1383560437	2	1831	1833	1831
Mon Nov 04 10:20:37 2013	1383560437	1	1838	1839	1838
Mon Nov 04 10:20:37 2013	1383560437	2	1849	1851	1849
Mon Nov 04 10:20:37 2013	1383560437	2	1853	1854	1853
Mon Nov 04 10:20:37 2013	1383560437	2	1854	1856	1854
Mon Nov 04 10:20:37 2013	1383560437	2	1859	1860	1859
Mon Nov 04 10:20:39 2013	1383560439	0	1879	1879	1879
Mon Nov 04 10:20:39 2013	1383560439	0	1903	1903	1903
Mon Nov 04 10:20:39 2013	1383560439	0	1924	1924	1924
Mon Nov 04 10:20:39 2013	1383560439	0	1937	1937	1936
Mon Nov 04 10:20:55 2013	1383560455	0	1941	1942	1941
Mon Nov 04 10:20:37 2013	1383560437	2	1943	1944	1943
Mon Nov 04 10:20:41 2013	1383560441	0	1953	1953	1953
Mon Nov 04 10:20:41 2013	1383560441	0	1955	1955	1955
Mon Nov 04 10:20:39 2013	1383560439	0	1956	1956	1956
Mon Nov 04 10:20:55 2013	1383560455	0	1959	1959	1959
Mon Nov 04 10:20:39 2013	1383560439	0	1967	1967	1967
Mon Nov 04 10:20:55 2013	1383560455	0	1994	1994	1994
Mon Nov 04 10:20:41 2013	1383560441	0	2003	2003	2003
Mon Nov 04 10:20:39 2013	1383560439	0	2004	2004	2004
Mon Nov 04 10:20:41 2013	1383560441	0	2009	2009	2009
Mon Nov 04 10:20:39 2013	1383560439	0	2022	2022	2022
Mon Nov 04 10:20:39 2013	1383560439	0	2041	2041	2041
Mon Nov 04 10:20:39 2013	1383560439	0	2049	2049	2049
Mon Nov 04 10:20:55 2013	1383560455	0	2054	2054	2054
Mon Nov 04 10:20:41 2013	1383560441	0	2066	2066	2066
Mon Nov 04 10:20:41 2013	1383560441	0	2071	2071	2071
Mon Nov 04 10:20:41 2013	1383560441	0	2071	2071	2071
Mon Nov 04 10:20:55 2013	1383560455	0	2077	2077	2077
Mon Nov 04 10:20:41 2013	1383560441	0	2078	2078	2078
Mon Nov 04 10:20:37 2013	1383560437	1	2079	2080	2079
Mon Nov 04 10:20:41 2013	1383560441	0	2093	2093	2093
Mon Nov 04 10:20:41 2013	1383560441	0	2099	2099	2099
Mon Nov 04 10:20:39 2013	1383560439	0	2100	2100	2100
Mon Nov 04 10:20:41 2013	1383560441	0	2100	2100	2100
Mon Nov 04 10:20:39 2013	1383560439	0	2108	2108	2108
Mon Nov 04 10:20:41 2013	1383560441	0	2113	2113	2113
Mon Nov 04 10:20:41 2013	1383560441	0	2124	2124	2124
Mon Nov 04 10:20:41 2013	1383560441	0	2131	2131	2131
Mon Nov 04 10:20:41 2013	1383560441	0	2137	2137	2137
Mon Nov 04 10:20:41 2013	1383560441	0	2141	2141	2141
Mon Nov 04 10:20:39 2013	1383560439	0	2142	2142	2142
Mon Nov 04 10:20:55 2013	1383560455	0	2146	2146	2146
Mon Nov 04 10:20:41 2013	1383560441	0	2146	2146	2146
Mon Nov 04 10:20:41 2013	1383560441	0	2158	2158	2158
Mon Nov 04 10:20:39 2013	1383560439	0	2161	2161	2161
Mon Nov 04 10:20:39 2013	1383560439	0	2161	2161	2161
Mon Nov 04 10:20:41 2013	1383560441	0	2171	2171	2171
Mon Nov 04 10:20:41 2013	1383560441	0	2177	2177	2177
Mon Nov 04 10:20:39 2013	1383560439	0	2187	2188	2187
Mon Nov 04 10:20:39 2013	1383560439	0	2190	2190	2190
Mon Nov 04 10:20:55 2013	1383560455	0	2191	2191	2191
Mon Nov 04 10:20:39 2013	1383560439	0	2200	2200	2200
Mon Nov 04 10:20:39 2013	1383560439	0	2200	2200	2200
Mon Nov 04 10:20:39 2013	1383560439	0	2201	2201	2201
Mon Nov 04 10:20:41 2013	1383560441	0	2220	2220	2219
Mon Nov 04 10:20:40 2013	1383560440	0	2246	2246	2246
Mon Nov 04 10:20:39 2013	1383560439	0	2248	2248	2248
Mon Nov 04 10:20:48 2013	1383560448	0	2254	2255	2254
Mon Nov 04 10:20:41 2013	1383560441	0	2262	2262	2262
Mon Nov 04 10:20:40 2013	1383560440	0	2262	2262	2262
Mon Nov 04 10:20:38 2013	1383560438	0	2274	2274	2274
Mon Nov 04 10:20:40 2013	1383560440	0	2279	2279	2279
Mon Nov 04 10:20:41 2013	1383560441	0	2296	2296	2296
Mon Nov 04 10:20:40 2013	1383560440	0	2313	2313	2313
Mon Nov 04 10:20:42 2013	1383560442	0	2314	2314	2314
Mon Nov 04 10:20:45 2013	1383560445	0	2330	2330	2330
Mon Nov 04 10:20:38 2013	1383560438	0	2334	2334	2334
Mon Nov 04 10:20:41 2013	1383560441	0	2345	2345	2345
Mon Nov 04 10:20:54 2013	1383560454	0	2352	2352	2352
Mon Nov 04 10:20:54 2013	1383560454	0	2355	2355	2355
Mon Nov 04 10:20:38 2013	1383560438	0	2356	2356	2356
Mon Nov 04 10:20:40 2013	1383560440	0	2358	2358	2358
Mon Nov 04 10:20:43 2013	1383560443	0	2367	2367	2367
Mon Nov 04 10:20:40 2013	1383560440	0	2368	2369	2368
Mon Nov 04 10:20:48 2013	1383560448	0	2381	2381	2381
Mon Nov 04 10:20:55 2013	1383560455	0	2382	2382	2382
Mon Nov 04 10:20:40 2013	1383560440	0	2387	2387	2386
Mon Nov 04 10:20:43 2013	1383560443	0	2420	2420	2420
Mon Nov 04 10:20:54 2013	1383560454	0	2426	2426	2426
Mon Nov 04 10:20:41 2013	1383560441	0	2433	2433	2433
Mon Nov 04 10:20:54 2013	1383560454	0	2440	2440	2440
Mon Nov 04 10:20:43 2013	1383560443	0	2440	2440	2440
Mon Nov 04 10:20:48 2013	1383560448	0	2445	2445	2445
Mon Nov 04 10:20:51 2013	1383560451	0	2447	2447	2447
Mon Nov 04 10:20:43 2013	1383560443	0	2452	2452	2452
Mon Nov 04 10:20:40 2013	1383560440	0	2454	2454	2454
Mon Nov 04 10:20:43 2013	1383560443	0	2455	2455	2455
Mon Nov 04 10:20:51 2013	1383560451	0	2457	2457	2457
Mon Nov 04 10:20:39 2013	1383560439	0	2500	2500	2500
Mon Nov 04 10:20:54 2013	1383560454	0	2501	2501	2501
Mon Nov 04 10:20:43 2013	1383560443	0	2503	2503	2503
Mon Nov 04 10:20:43 2013	1383560443	0	2511	2511	2511
Mon Nov 04 10:20:54 2013	1383560454	0	2512	2512	2512
Mon Nov 04 10:20:51 2013	1383560451	0	2525	2525	2525
Mon Nov 04 10:20:54 2013	1383560454	0	2531	2531	2531
Mon Nov 04 10:20:39 2013	1383560439	0	2534	2534	2534
Mon Nov 04 10:20:39 2013	1383560439	0	2547	2547	2547
Mon Nov 04 10:20:48 2013	1383560448	0	2548	2548	2548
Mon Nov 04 10:20:51 2013	1383560451	0	2553	2553	2553
Mon Nov 04 10:20:50 2013	1383560450	0	2563	2563	2563
Mon Nov 04 10:20:50 2013	1383560450	0	2570	2570	2569
Mon Nov 04 10:20:39 2013	1383560439	0	2581	2581	2581
Mon Nov 04 10:20:42 2013	1383560442	0	2585	2585	2585
Mon Nov 04 10:20:46 2013	1383560446	0	2598	2598	2598
Mon Nov 04 10:20:43 2013	1383560443	0	2609	2609	2609
Mon Nov 04 10:20:54 2013	1383560454	0	2612	2612	2612
Mon Nov 04 10:20:41 2013	1383560441	0	2647	2647	2647
Mon Nov 04 10:20:54 2013	1383560454	0	2649	2649	2649
Mon Nov 04 10:20:46 2013	1383560446	0	2658	2658	2658
Mon Nov 04 10:20:51 2013	1383560451	0	2662	2662	2662
Mon Nov 04 10:20:46 2013	1383560446	0	2668	2668	2667
Mon Nov 04 10:20:42 2013	1383560442	0	2676	2676	2676
Mon Nov 04 10:20:48 2013	1383560448	0	2677	2677	2677
Mon Nov 04 10:20:42 2013	1383560442	0	2677	2677	2677
Mon Nov 04 10:20:42 2013	1383560442	0	2702	2702	2702
Mon Nov 04 10:20:54 2013	1383560454	0	2708	2708	2708
Mon Nov 04 10:20:45 2013	1383560445	0	2717	2717	2717
Mon Nov 04 10:20:45 2013	1383560445	0	2719	2719	2719
Mon Nov 04 10:20:48 2013	1383560448	0	2720	2720	2720
Mon Nov 04 10:20:54 2013	1383560454	0	2723	2723	2723
Mon Nov 04 10:20:51 2013	1383560451	0	2724	2724	2724
Mon Nov 04 10:20:48 2013	1383560448	0	2725	2725	2725
Mon Nov 04 10:20:43 2013	1383560443	0	2735	2735	2735
Mon Nov 04 10:20:51 2013	1383560451	0	2743	2743	2743
Mon Nov 04 10:20:51 2013	1383560451	0	2750	2750	2749
Mon Nov 04 10:20:42 2013	1383560442	0	2755	2755	2755
Mon Nov 04 10:20:54 2013	1383560454	0	2767	2767	2767
Mon Nov 04 10:20:48 2013	1383560448	0	2768	2768	2768
Mon Nov 04 10:20:46 2013	1383560446	0	2774	2774	2774
Mon Nov 04 10:20:43 2013	1383560443	0	2778	2778	2778
Mon Nov 04 10:20:54 2013	1383560454	0	2780	2780	2779
Mon Nov 04 10:20:42 2013	1383560442	0	2792	2792	2792
Mon Nov 04 10:20:46 2013	1383560446	0	2794	2794	2794
Mon Nov 04 10:20:46 2013	1383560446	0	2799	2799	2799
